id,stem,type,answer,analysis,options
65,¡,2,bad,cc,"['a', 'b', 'c']"
68,¤,2,bad,cc,"['a', 'b', 'c']"
71,§,2,bad,cc,"['a', 'b', 'c']"
74,ª,2,bad,cc,"['a', 'b', 'c']"
77,­,2,bad,cc,"['a', 'b', 'c']"
80,°,2,bad,cc,"['a', 'b', 'c']"
83,³,2,bad,cc,"['a', 'b', 'c']"
86,¶,2,bad,cc,"['a', 'b', 'c']"
89,¹,2,bad,cc,"['a', 'b', 'c']"
92,¼,2,bad,cc,"['a', 'b', 'c']"
95,¿,2,bad,cc,"['a', 'b', 'c']"
98,Â,2,bad,cc,"['a', 'b', 'c']"
101,Å,2,bad,cc,"['a', 'b', 'c']"
104,È,2,bad,cc,"['a', 'b', 'c']"
107,Ë,2,bad,cc,"['a', 'b', 'c']"
110,Î,2,bad,cc,"['a', 'b', 'c']"
113,Ñ,2,bad,cc,"['a', 'b', 'c']"
116,Ô,2,bad,cc,"['a', 'b', 'c']"
119,×,2,bad,cc,"['a', 'b', 'c']"
122,Ú,2,bad,cc,"['a', 'b', 'c']"
125,Ý,2,bad,cc,"['a', 'b', 'c']"
128,à,2,bad,cc,"['a', 'b', 'c']"
131,ã,2,bad,cc,"['a', 'b', 'c']"
134,æ,2,bad,cc,"['a', 'b', 'c']"
137,é,2,bad,cc,"['a', 'b', 'c']"
140,ì,2,bad,cc,"['a', 'b', 'c']"
143,ï,2,bad,cc,"['a', 'b', 'c']"
146,ò,2,bad,cc,"['a', 'b', 'c']"
149,õ,2,bad,cc,"['a', 'b', 'c']"
3,c,3,bad,cc,"['a', 'b', 'c']"
6,f,3,bad,cc,"['a', 'b', 'c']"
9,i,3,bad,cc,"['a', 'b', 'c']"
12,l,3,bad,cc,"['a', 'b', 'c']"
15,o,3,bad,cc,"['a', 'b', 'c']"
18,r,3,bad,cc,"['a', 'b', 'c']"
21,u,3,bad,cc,"['a', 'b', 'c']"
24,x,3,bad,cc,"['a', 'b', 'c']"
27,{,3,bad,cc,"['a', 'b', 'c']"
30,~,3,bad,cc,"['a', 'b', 'c']"
33,,3,bad,cc,"['a', 'b', 'c']"
36,,3,bad,cc,"['a', 'b', 'c']"
39,,3,bad,cc,"['a', 'b', 'c']"
42,,3,bad,cc,"['a', 'b', 'c']"
45,,3,bad,cc,"['a', 'b', 'c']"
48,,3,bad,cc,"['a', 'b', 'c']"
51,,3,bad,cc,"['a', 'b', 'c']"
54,,3,bad,cc,"['a', 'b', 'c']"
57,,3,bad,cc,"['a', 'b', 'c']"
60,,3,bad,cc,"['a', 'b', 'c']"
63,,3,bad,cc,"['a', 'b', 'c']"
66,¢,3,bad,cc,"['a', 'b', 'c']"
69,¥,3,bad,cc,"['a', 'b', 'c']"
72,¨,3,bad,cc,"['a', 'b', 'c']"
75,«,3,bad,cc,"['a', 'b', 'c']"
78,®,3,bad,cc,"['a', 'b', 'c']"
81,±,3,bad,cc,"['a', 'b', 'c']"
84,´,3,bad,cc,"['a', 'b', 'c']"
87,·,3,bad,cc,"['a', 'b', 'c']"
90,º,3,bad,cc,"['a', 'b', 'c']"
93,½,3,bad,cc,"['a', 'b', 'c']"
96,À,3,bad,cc,"['a', 'b', 'c']"
99,Ã,3,bad,cc,"['a', 'b', 'c']"
102,Æ,3,bad,cc,"['a', 'b', 'c']"
105,É,3,bad,cc,"['a', 'b', 'c']"
108,Ì,3,bad,cc,"['a', 'b', 'c']"
111,Ï,3,bad,cc,"['a', 'b', 'c']"
114,Ò,3,bad,cc,"['a', 'b', 'c']"
117,Õ,3,bad,cc,"['a', 'b', 'c']"
120,Ø,3,bad,cc,"['a', 'b', 'c']"
123,Û,3,bad,cc,"['a', 'b', 'c']"
126,Þ,3,bad,cc,"['a', 'b', 'c']"
129,á,3,bad,cc,"['a', 'b', 'c']"
132,ä,3,bad,cc,"['a', 'b', 'c']"
135,ç,3,bad,cc,"['a', 'b', 'c']"
138,ê,3,bad,cc,"['a', 'b', 'c']"
141,í,3,bad,cc,"['a', 'b', 'c']"
144,ð,3,bad,cc,"['a', 'b', 'c']"
147,ó,3,bad,cc,"['a', 'b', 'c']"
150,ö,3,bad,cc,"['a', 'b', 'c']"
